State,Year,Primary_Fuel,Production_Amount
Northern Territory,2007-08,Ethane,0.00
Northern Territory,2007-08,Liquid/gas biofuels,0.10
Northern Territory,2007-08,Wood,4.70
Northern Territory,2007-08,Bagasse,0.00
Northern Territory,2007-08,Hydro-electricity,0.00
Northern Territory,2007-08,Wind b,0.00
Northern Territory,2007-08,Solar PV,0.00
Northern Territory,2007-08,Solar hotwater,0.20
Northern Territory,2008-09,Black coal,0.00
Northern Territory,2008-09,Brown coal,0.00
Northern Territory,2008-09,Crude oil and NGL,866.40
Northern Territory,2008-09,Naturally occurring LPG,0.00
Northern Territory,2008-09,Natural gas a,536.60
Northern Territory,2008-09,Ethane,0.00
Northern Territory,2008-09,Liquid/gas biofuels,0.10
Northern Territory,2008-09,Wood,4.50
Northern Territory,2008-09,Bagasse,0.00
Northern Territory,2008-09,Hydro-electricity,0.00
Northern Territory,2008-09,Wind b,0.00
Northern Territory,2008-09,Solar PV,0.50
Northern Territory,2008-09,Solar hotwater,0.20
Northern Territory,2009-10,Black coal,0.00
Northern Territory,2009-10,Brown coal,0.00
Northern Territory,2009-10,Crude oil and NGL,1068.80
Northern Territory,2009-10,Naturally occurring LPG,0.00
Northern Territory,2009-10,Natural gas a,511.80
Northern Territory,2009-10,Ethane,0.00
Northern Territory,2009-10,Liquid/gas biofuels,0.10
Northern Territory,2009-10,Wood,4.30
Northern Territory,2009-10,Bagasse,0.00
Northern Territory,2009-10,Hydro-electricity,0.00
Northern Territory,2009-10,Wind b,0.00
Northern Territory,2009-10,Solar PV,4.30
Northern Territory,2009-10,Solar hotwater,0.30
Northern Territory,2010-11,Black coal,0.00
Northern Territory,2010-11,Brown coal,0.00
Northern Territory,2010-11,Crude oil and NGL,570.90
Northern Territory,2010-11,Naturally occurring LPG,0.00
Northern Territory,2010-11,Natural gas a,335.40
Northern Territory,2010-11,Ethane,0.00
Northern Territory,2010-11,Liquid/gas biofuels,0.10
Northern Territory,2010-11,Wood,4.10
Northern Territory,2010-11,Bagasse,0.00
Northern Territory,2010-11,Hydro-electricity,0.00
Northern Territory,2010-11,Wind b,0.00
Northern Territory,2010-11,Solar PV,5.60
Northern Territory,2010-11,Solar hotwater,0.30
Northern Territory,2011-12,Black coal,0.00
Northern Territory,2011-12,Brown coal,0.00
Northern Territory,2011-12,Crude oil and NGL,2102.20
Northern Territory,2011-12,Naturally occurring LPG,0.00
Northern Territory,2011-12,Natural gas a,316.20
Northern Territory,2011-12,Ethane,0.00
Northern Territory,2011-12,Liquid/gas biofuels,0.10
Northern Territory,2011-12,Wood,4.10
Northern Territory,2011-12,Bagasse,0.00
Northern Territory,2011-12,Hydro-electricity,0.00
Northern Territory,2011-12,Wind b,0.00
Northern Territory,2011-12,Solar PV,9.70
Northern Territory,2011-12,Solar hotwater,0.30
Northern Territory,2012-13,Black coal,0.00
Northern Territory,2012-13,Brown coal,0.00
Northern Territory,2012-13,Crude oil and NGL,1986.70
Northern Territory,2012-13,Naturally occurring LPG,0.00
Northern Territory,2012-13,Natural gas a,694.00
Northern Territory,2012-13,Ethane,0.00
Northern Territory,2012-13,Liquid/gas biofuels,0.10
Northern Territory,2012-13,Wood,4.10
Northern Territory,2012-13,Bagasse,0.00
Northern Territory,2012-13,Hydro-electricity,0.00
Northern Territory,2012-13,Wind b,0.00
Northern Territory,2012-13,Solar PV,16.90
Northern Territory,2012-13,Solar hotwater,0.30
Northern Territory,2013-14,Black coal,0.00
Northern Territory,2013-14,Brown coal,0.00
Northern Territory,2013-14,Crude oil and NGL,1488.00
Northern Territory,2013-14,Naturally occurring LPG,0.00
Northern Territory,2013-14,Natural gas a,836.80
Northern Territory,2013-14,Ethane,0.00
Northern Territory,2013-14,Liquid/gas biofuels,0.10
Northern Territory,2013-14,Wood,3.60
Northern Territory,2013-14,Bagasse,0.00
Northern Territory,2013-14,Hydro-electricity,0.00
Northern Territory,2013-14,Wind b,0.00
Northern Territory,2013-14,Solar PV,24.40
Northern Territory,2013-14,Solar hotwater,0.30
Northern Territory,2014-15,Black coal,0.00
Northern Territory,2014-15,Brown coal,0.00
Northern Territory,2014-15,Crude oil and NGL,1766.70
Northern Territory,2014-15,Naturally occurring LPG,0.00
Northern Territory,2014-15,Natural gas a,962.80
Northern Territory,2014-15,Ethane,0.00
Northern Territory,2014-15,Liquid/gas biofuels,0.10
Northern Territory,2014-15,Wood,3.60
Northern Territory,2014-15,Bagasse,0.00
Northern Territory,2014-15,Hydro-electricity,0.00
Northern Territory,2014-15,Wind b,0.00
Northern Territory,2014-15,Solar PV,35.30
Northern Territory,2014-15,Solar hotwater,0.40
Northern Territory,2015-16,Black coal,0.00
Northern Territory,2015-16,Brown coal,0.00
Northern Territory,2015-16,Crude oil and NGL,1275.60
Northern Territory,2015-16,Naturally occurring LPG,0.00
Northern Territory,2015-16,Natural gas a,1423.80
Northern Territory,2015-16,Ethane,0.00
Northern Territory,2015-16,Liquid/gas biofuels,0.10
Northern Territory,2015-16,Wood,3.40
Northern Territory,2015-16,Bagasse,0.00
Northern Territory,2015-16,Hydro-electricity,0.00
Northern Territory,2015-16,Wind b,0.00
Northern Territory,2015-16,Solar PV,51.00
Northern Territory,2015-16,Solar hotwater,0.40
Northern Territory,2016-17,Black coal,0.00
Northern Territory,2016-17,Brown coal,0.00
Northern Territory,2016-17,Crude oil and NGL,827.20
Northern Territory,2016-17,Naturally occurring LPG,0.00
Northern Territory,2016-17,Natural gas a,1273.40
Northern Territory,2016-17,Ethane,0.00
Northern Territory,2016-17,Liquid/gas biofuels,0.10
Northern Territory,2016-17,Wood,3.30
Northern Territory,2016-17,Bagasse,0.00
Northern Territory,2016-17,Hydro-electricity,0.00
Northern Territory,2016-17,Wind b,0.00
Northern Territory,2016-17,Solar PV,79.70
Northern Territory,2016-17,Solar hotwater,0.40
Northern Territory,2017-18,Black coal,0.00
Northern Territory,2017-18,Brown coal,0.00
Northern Territory,2017-18,Crude oil and NGL,734.80
Northern Territory,2017-18,Naturally occurring LPG,0.00
Northern Territory,2017-18,Natural gas a,1368.00
Northern Territory,2017-18,Ethane,0.00
Northern Territory,2017-18,Liquid/gas biofuels,0.10
Northern Territory,2017-18,Wood,3.30
Northern Territory,2017-18,Bagasse,0.00
Northern Territory,2017-18,Hydro-electricity,0.00
Northern Territory,2017-18,Wind b,0.00
Northern Territory,2017-18,Solar PV,116.30
Northern Territory,2017-18,Solar hotwater,0.40
Northern Territory,2018-19,Black coal,0.00
Northern Territory,2018-19,Brown coal,0.00
Northern Territory,2018-19,Crude oil and NGL,694.20
Northern Territory,2018-19,Naturally occurring LPG,982.90
Northern Territory,2018-19,Natural gas a,8660.20
Northern Territory,2018-19,Ethane,0.00
Northern Territory,2018-19,Liquid/gas biofuels,0.10
Northern Territory,2018-19,Wood,3.30
Northern Territory,2018-19,Bagasse,0.00
Northern Territory,2018-19,Hydro-electricity,0.00
Northern Territory,2018-19,Wind b,0.00
Northern Territory,2018-19,Solar PV,150.50
Northern Territory,2018-19,Solar hotwater,0.40
Northern Territory,2019-20,Black coal,0.00
Northern Territory,2019-20,Brown coal,0.00
Northern Territory,2019-20,Crude oil and NGL,615.60
Northern Territory,2019-20,Naturally occurring LPG,2961.30
Northern Territory,2019-20,Natural gas a,15899.00
Northern Territory,2019-20,Ethane,0.00
Northern Territory,2019-20,Liquid/gas biofuels,0.10
Northern Territory,2019-20,Wood,3.40
Northern Territory,2019-20,Bagasse,0.00
Northern Territory,2019-20,Hydro-electricity,0.00
Northern Territory,2019-20,Wind b,0.00
Northern Territory,2019-20,Solar PV,201.50
Northern Territory,2019-20,Solar hotwater,0.40
Northern Territory,2020-21,Black coal,0.00
Northern Territory,2020-21,Brown coal,0.00
Northern Territory,2020-21,Crude oil and NGL,500.10
Northern Territory,2020-21,Naturally occurring LPG,2612.20
Northern Territory,2020-21,Natural gas a,14900.60
Northern Territory,2020-21,Ethane,0.00
Northern Territory,2020-21,Liquid/gas biofuels,0.10
Northern Territory,2020-21,Wood,3.10
Northern Territory,2020-21,Bagasse,0.00
Northern Territory,2020-21,Hydro-electricity,0.00
Northern Territory,2020-21,Wind b,0.00
Northern Territory,2020-21,Solar PV,248.20
Northern Territory,2020-21,Solar hotwater,0.40
Northern Territory,2021-22,Black coal,0.00
Northern Territory,2021-22,Brown coal,0.00
Northern Territory,2021-22,Crude oil and NGL,506.50
Northern Territory,2021-22,Naturally occurring LPG,3343.40
Northern Territory,2021-22,Natural gas a,17396.50
Northern Territory,2021-22,Ethane,0.00
Northern Territory,2021-22,Liquid/gas biofuels,0.10
Northern Territory,2021-22,Wood,3.00
Northern Territory,2021-22,Bagasse,0.00
Northern Territory,2021-22,Hydro-electricity,0.00
Northern Territory,2021-22,Wind b,0.00
Northern Territory,2021-22,Solar PV,277.00
Northern Territory,2021-22,Solar hotwater,0.50
Northern Territory,2022-23,Black coal,0.00
Northern Territory,2022-23,Brown coal,0.00
Northern Territory,2022-23,Crude oil and NGL,142.90
Northern Territory,2022-23,Naturally occurring LPG,2747.80
Northern Territory,2022-23,Natural gas a,14475.00
Northern Territory,2022-23,Ethane,0.00
Northern Territory,2022-23,Liquid/gas biofuels,0.10
Northern Territory,2022-23,Wood,3.00
Northern Territory,2022-23,Bagasse,0.00
Northern Territory,2022-23,Hydro-electricity,0.00
Northern Territory,2022-23,Wind b,0.00
Northern Territory,2022-23,Solar PV,310.20
Northern Territory,2022-23,Solar hotwater,0.50
