State,Year,Primary_Fuel,Production_Amount
Victoria,2004-05,Liquid/gas biofuels,2.00
Victoria,2004-05,Wood,1805.40
Victoria,2004-05,Bagasse,0.00
Victoria,2004-05,Hydro-electricity,817.00
Victoria,2004-05,Wind b,0.00
Victoria,2004-05,Solar PV,0.00
Victoria,2004-05,Solar hotwater,0.20
Victoria,2005-06,Black coal,0.00
Victoria,2005-06,Brown coal,67737.00
Victoria,2005-06,Crude oil and NGL,4277.10
Victoria,2005-06,Naturally occurring LPG,1941.90
Victoria,2005-06,Natural gas a,8478.60
Victoria,2005-06,Ethane,186.70
Victoria,2005-06,Liquid/gas biofuels,1.90
Victoria,2005-06,Wood,1735.30
Victoria,2005-06,Bagasse,0.00
Victoria,2005-06,Hydro-electricity,465.00
Victoria,2005-06,Wind b,0.00
Victoria,2005-06,Solar PV,0.00
Victoria,2005-06,Solar hotwater,0.20
Victoria,2006-07,Black coal,0.00
Victoria,2006-07,Brown coal,65613.00
Victoria,2006-07,Crude oil and NGL,4419.60
Victoria,2006-07,Naturally occurring LPG,1907.80
Victoria,2006-07,Natural gas a,9441.60
Victoria,2006-07,Ethane,190.20
Victoria,2006-07,Liquid/gas biofuels,1.80
Victoria,2006-07,Wood,1691.30
Victoria,2006-07,Bagasse,0.00
Victoria,2006-07,Hydro-electricity,590.00
Victoria,2006-07,Wind b,0.00
Victoria,2006-07,Solar PV,0.00
Victoria,2006-07,Solar hotwater,0.40
Victoria,2007-08,Black coal,0.00
Victoria,2007-08,Brown coal,66033.00
Victoria,2007-08,Crude oil and NGL,4042.40
Victoria,2007-08,Naturally occurring LPG,1889.60
Victoria,2007-08,Natural gas a,10789.20
Victoria,2007-08,Ethane,194.90
Victoria,2007-08,Liquid/gas biofuels,3.80
Victoria,2007-08,Wood,1638.80
Victoria,2007-08,Bagasse,0.00
Victoria,2007-08,Hydro-electricity,1583.00
Victoria,2007-08,Wind b,0.00
Victoria,2007-08,Solar PV,0.00
Victoria,2007-08,Solar hotwater,0.60
Victoria,2008-09,Black coal,0.00
Victoria,2008-09,Brown coal,68252.00
Victoria,2008-09,Crude oil and NGL,4420.50
Victoria,2008-09,Naturally occurring LPG,1764.00
Victoria,2008-09,Natural gas a,10528.20
Victoria,2008-09,Ethane,139.00
Victoria,2008-09,Liquid/gas biofuels,4.00
Victoria,2008-09,Wood,1134.00
Victoria,2008-09,Bagasse,0.00
Victoria,2008-09,Hydro-electricity,2234.50
Victoria,2008-09,Wind b,573.00
Victoria,2008-09,Solar PV,24.10
Victoria,2008-09,Solar hotwater,1.10
Victoria,2009-10,Black coal,0.00
Victoria,2009-10,Brown coal,68751.00
Victoria,2009-10,Crude oil and NGL,4659.70
Victoria,2009-10,Naturally occurring LPG,1738.50
Victoria,2009-10,Natural gas a,9391.60
Victoria,2009-10,Ethane,172.60
Victoria,2009-10,Liquid/gas biofuels,4.20
Victoria,2009-10,Wood,1089.00
Victoria,2009-10,Bagasse,0.00
Victoria,2009-10,Hydro-electricity,1975.00
Victoria,2009-10,Wind b,1406.00
Victoria,2009-10,Solar PV,66.20
Victoria,2009-10,Solar hotwater,1.70
