State,Year,Fuel_Type,Energy_Unit
Tasmania,2011-12,Renewables,39.809
Tasmania,2012-13,Coal,11.996
Tasmania,2012-13,Gas,17.707
Tasmania,2012-13,Oil,38.538
Tasmania,2012-13,Renewables,48.479
Tasmania,2013-14,Coal,11.017
Tasmania,2013-14,Gas,12.417
Tasmania,2013-14,Oil,38.177
Tasmania,2013-14,Renewables,54.173
Tasmania,2014-15,Coal,11.348
Tasmania,2014-15,Gas,6.584
Tasmania,2014-15,Oil,37.856
Tasmania,2014-15,Renewables,41.278
Tasmania,2015-16,Coal,9.708
Tasmania,2015-16,Gas,12.944
Tasmania,2015-16,Oil,38.098
Tasmania,2015-16,Renewables,40.869
Tasmania,2016-17,Coal,10.684
Tasmania,2016-17,Gas,13.165
Tasmania,2016-17,Oil,37.049
Tasmania,2016-17,Renewables,41.925
Tasmania,2017-18,Coal,10.471
Tasmania,2017-18,Gas,13.92
Tasmania,2017-18,Oil,38.099
Tasmania,2017-18,Renewables,45.937
Tasmania,2018-19,Coal,10.045
Tasmania,2018-19,Gas,10.591
Tasmania,2018-19,Oil,40.298
Tasmania,2018-19,Renewables,46.559
Tasmania,2019-20,Coal,8.266
Tasmania,2019-20,Gas,7.398
Tasmania,2019-20,Oil,37.323
Tasmania,2019-20,Renewables,47.412
Tasmania,2020-21,Coal,8.058
Tasmania,2020-21,Gas,7.324
Tasmania,2020-21,Oil,39.963
Tasmania,2020-21,Renewables,43.438
Tasmania,2021-22,Coal,8.768
Tasmania,2021-22,Gas,7.064
Tasmania,2021-22,Oil,39.885
Tasmania,2021-22,Renewables,48.37
Tasmania,2022-23,Coal,8.845
Tasmania,2022-23,Gas,7.238
Tasmania,2022-23,Oil,39.501
Tasmania,2022-23,Renewables,43.88
Northern Territory,2008-09,Coal,0
Northern Territory,2008-09,Gas,39.919
Northern Territory,2008-09,Oil,54.751
Northern Territory,2008-09,Renewables,0.372
Northern Territory,2009-10,Coal,0
Northern Territory,2009-10,Gas,41.954
Northern Territory,2009-10,Oil,51.859
Northern Territory,2009-10,Renewables,0.472
Northern Territory,2010-11,Coal,0
Northern Territory,2010-11,Gas,44.122
Northern Territory,2010-11,Oil,54.939
Northern Territory,2010-11,Renewables,0.481
Northern Territory,2011-12,Coal,0
Northern Territory,2011-12,Gas,41.958
Northern Territory,2011-12,Oil,55.702
Northern Territory,2011-12,Renewables,0.489
Northern Territory,2012-13,Coal,0
Northern Territory,2012-13,Gas,45.3
Northern Territory,2012-13,Oil,54.157
Northern Territory,2012-13,Renewables,0.526
Northern Territory,2013-14,Coal,0
Northern Territory,2013-14,Gas,47.367
Northern Territory,2013-14,Oil,51.205
Northern Territory,2013-14,Renewables,0.569
Northern Territory,2014-15,Coal,0
Northern Territory,2014-15,Gas,44.943
Northern Territory,2014-15,Oil,38.397
Northern Territory,2014-15,Renewables,0.647
Northern Territory,2015-16,Coal,0
Northern Territory,2015-16,Gas,49.815
Northern Territory,2015-16,Oil,33.42
Northern Territory,2015-16,Renewables,0.684
Northern Territory,2016-17,Coal,0
Northern Territory,2016-17,Gas,48.124
Northern Territory,2016-17,Oil,34.387
Northern Territory,2016-17,Renewables,0.809
Northern Territory,2017-18,Coal,0
Northern Territory,2017-18,Gas,46.908
Northern Territory,2017-18,Oil,42.286
Northern Territory,2017-18,Renewables,0.967
Northern Territory,2018-19,Coal,0
Northern Territory,2018-19,Gas,86.125
Northern Territory,2018-19,Oil,45.787
Northern Territory,2018-19,Renewables,1.11
Northern Territory,2019-20,Coal,0
Northern Territory,2019-20,Gas,108.691
Northern Territory,2019-20,Oil,36.497
Northern Territory,2019-20,Renewables,1.311
Northern Territory,2020-21,Coal,0
Northern Territory,2020-21,Gas,106.246
Northern Territory,2020-21,Oil,37.615
Northern Territory,2020-21,Renewables,1.48
Northern Territory,2021-22,Coal,0
Northern Territory,2021-22,Gas,110.567
Northern Territory,2021-22,Oil,37.623
Northern Territory,2021-22,Renewables,1.582
Northern Territory,2022-23,Coal,0
Northern Territory,2022-23,Gas,91.281
Northern Territory,2022-23,Oil,36.569
Northern Territory,2022-23,Renewables,1.742
Australia,2008-09,Coal,2351.03
Australia,2008-09,Gas,1252.872
Australia,2008-09,Oil,2000.72
Australia,2008-09,Renewables,239.941
Australia,2009-10,Coal,2224.751
Australia,2009-10,Gas,1257.834
Australia,2009-10,Oil,2057.962
Australia,2009-10,Renewables,282.626
Australia,2010-11,Coal,2123.908
Australia,2010-11,Gas,1274.207
Australia,2010-11,Oil,2211.984
Australia,2010-11,Renewables,294.58
Australia,2011-12,Coal,2074.666
Australia,2011-12,Gas,1338.544
Australia,2011-12,Oil,2184.155
Australia,2011-12,Renewables,293.827
Australia,2012-13,Coal,1930.905
Australia,2012-13,Gas,1376.47
Australia,2012-13,Oil,2277.953
Australia,2012-13,Renewables,333.541
Australia,2013-14,Coal,1845.765
Australia,2013-14,Gas,1383.756
Australia,2013-14,Oil,2297.183
Australia,2013-14,Renewables,344.246
Australia,2014-15,Coal,1907.162
Australia,2014-15,Gas,1406.951
Australia,2014-15,Oil,2236.646
Australia,2014-15,Renewables,347.666
Australia,2015-16,Coal,1954.878
Australia,2015-16,Gas,1440.327
Australia,2015-16,Oil,2279.486
Australia,2015-16,Renewables,360.187
Australia,2016-17,Coal,1930.031
Australia,2016-17,Gas,1477.62
Australia,2016-17,Oil,2318.013
Australia,2016-17,Renewables,379.078
Australia,2017-18,Coal,1847.29
Australia,2017-18,Gas,1534.393
Australia,2017-18,Oil,2404.055
Australia,2017-18,Renewables,382.453
Australia,2018-19,Coal,1801.746
Australia,2018-19,Gas,1561.924
Australia,2018-19,Oil,2424.419
Australia,2018-19,Renewables,400.194
Australia,2019-20,Coal,1706.736
Australia,2019-20,Gas,1623.785
Australia,2019-20,Oil,2251.769
Australia,2019-20,Renewables,418.758
Australia,2020-21,Coal,1661.358
Australia,2020-21,Gas,1561.075
Australia,2020-21,Oil,2082.155
Australia,2020-21,Renewables,464.63
Australia,2021-22,Coal,1586.755
Australia,2021-22,Gas,1559.345
Australia,2021-22,Oil,2106.89
Australia,2021-22,Renewables,512.147
Australia,2022-23,Coal,1525.029
Australia,2022-23,Gas,1518.128
Australia,2022-23,Oil,2285.489
Australia,2022-23,Renewables,553.559
